Id,SalePrice
1461,109568.0
1462,150057.0
1463,180064.0
1464,183374.0
1465,172817.0
1466,163295.0
1467,147980.0
1468,151147.0
1469,181906.0
1470,129083.0
1471,152355.0
1472,98843.0
1473,96028.0
1474,148489.0
1475,94674.0
1476,361982.0
1477,241192.0
1478,328062.0
1479,331572.0
1480,438021.0
1481,312460.0
1482,215456.0
1483,158639.0
1484,170688.0
1485,190230.0
1486,189098.0
1487,353908.0
1488,202998.0
1489,197137.0
1490,249446.0
1491,203199.0
1492,87390.0
1493,201336.0
1494,280991.0
1495,271575.0
1496,242824.0
1497,157485.0
1498,183373.0
1499,178389.0
1500,170881.0
1501,188077.0
1502,155131.0
1503,287451.0
1504,243219.0
1505,211830.0
1506,176721.0
1507,238101.0
1508,193072.0
1509,156606.0
1510,150375.0
1511,149815.0
1512,156406.0
1513,113444.0
1514,140572.0
1515,166460.0
1516,159102.0
1517,159477.0
1518,109076.0
1519,201240.0
1520,132788.0
1521,129778.0
1522,177184.0
1523,113253.0
1524,90318.0
1525,116441.0
1526,101921.0
1527,97228.0
1528,120788.0
1529,154545.0
1530,217775.0
1531,162519.0
1532,109216.0
1533,138462.0
1534,113540.0
1535,146605.0
1536,116358.0
1537,69311.0
1538,165681.0
1539,175433.0
1540,109884.0
1541,137134.0
1542,126999.0
1543,162980.0
1544,73662.0
1545,119846.0
1546,139056.0
1547,150394.0
1548,126245.0
1549,123891.0
1550,130519.0
1551,110968.0
1552,161040.0
1553,162619.0
1554,117460.0
1555,138475.0
1556,97262.0
1557,97631.0
1558,101103.0
1559,98241.0
1560,133444.0
1561,123471.0
1562,142296.0
1563,132257.0
1564,170269.0
1565,173485.0
1566,242782.0
1567,73887.0
1568,251971.0
1569,143869.0
1570,151373.0
1571,95262.0
1572,124036.0
1573,258939.0
1574,121880.0
1575,265195.0
1576,231498.0
1577,193365.0
1578,137460.0
1579,152048.0
1580,185147.0
1581,168949.0
1582,126250.0
1583,251311.0
1584,218916.0
1585,145258.0
1586,58397.0
1587,85949.0
1588,154135.0
1589,82009.0
1590,117134.0
1591,95659.0
1592,123380.0
1593,129965.0
1594,127523.0
1595,120309.0
1596,234922.0
1597,195367.0
1598,199500.0
1599,177772.0
1600,164215.0
1601,46870.0
1602,131128.0
1603,72145.0
1604,300449.0
1605,227662.0
1606,131894.0
1607,136946.0
1608,243825.0
1609,181193.0
1610,167556.0
1611,142615.0
1612,188160.0
1613,149372.0
1614,132851.0
1615,100748.0
1616,76234.0
1617,86162.0
1618,114892.0
1619,136627.0
1620,149019.0
1621,126818.0
1622,148686.0
1623,268359.0
1624,221019.0
1625,111052.0
1626,168287.0
1627,179338.0
1628,258217.0
1629,170048.0
1630,294215.0
1631,225015.0
1632,208852.0
1633,186562.0
1634,200472.0
1635,183918.0
1636,144672.0
1637,181952.0
1638,174858.0
1639,167648.0
1640,219374.0
1641,165553.0
1642,279505.0
1643,214962.0
1644,233509.0
1645,197563.0
1646,176374.0
1647,159834.0
1648,122135.0
1649,142200.0
1650,112788.0
1651,112651.0
1652,100219.0
1653,106290.0
1654,143321.0
1655,114387.0
1656,154325.0
1657,147549.0
1658,172077.0
1659,99936.0
1660,169876.0
1661,420178.0
1662,350134.0
1663,375271.0
1664,436116.0
1665,324145.0
1666,327106.0
